label,tweet,refined_tweet
anger,soal jalan jatibarupolisi bisa gertak gubernur emangny polisi ikut pmbhasan jangan berpolitik pengaturan wilayahhak gubernur persoalan tn abang soal turun temurunpelikperlu kesabaran,soal jalan jatibarupolisi bisa gertak gubernur emangny polisi ikut pmbhasan jangan berpolitik pengaturan wilayahhak gubernur persoalan tn abang soal turun temurunpelikperlu kesabaran
anger,sesama cewek lho kayaknya harusnya lebih rasain lah harus sibuk jaga diri rasain sakitnya haid paniknya pulang malam sendirian gimana orang asing wajarlah banyak korban takut curhat bukan dibela malah dihujat,sesama cewek lho kayaknya harusnya rasain harus sibuk jaga diri rasain sakitnya haid paniknya pulang malam sendirian gimana asing wajarlah korban takut curhat bukan dibela malah dihujat
happy,kepingin gudeg mbarek bu hj amad foto google sengaja biar temanteman membayangkannya berbagi indah,kepingin gudeg mbarek bu hj amad foto google sengaja biar temanteman membayangkannya berbagi indah
anger,jalan jatibarubagian wilayah tn abangpengaturan wilayah tgg jawab wwnang gubtng abng soal rumitsejak gub trdahuluskrg sedng dibenahiagr bermnfaat semua pihakmohon punya otakberpikirlah wajarkecuali otaknya butekya kamu,jalan jatibarubagian wilayah tn abangpengaturan wilayah tgg jawab wwnang gubtng abng soal rumitsejak gub trdahuluskrg sedng dibenahiagr bermnfaat pihakmohon punya otakberpikirlah wajarkecuali otaknya butekya
happy,sharing pengalaman aja kemarin jam batalin tiket stasiun pasar senen lancar antrian terlalu rame menitan beress semua mungkin dicoba twips jamjam segitu cc,sharing pengalaman aja kemarin jam batalin tiket stasiun pasar senen lancar antrian terlalu rame menitan beress mungkin dicoba twips jamjam segitu cc
anger,sekian banyak thread baca thread paling aneh sih penulisan sumpah aneh bgt mau ngatain lebay segala bikin thread hadeh juga jago nulis tulisan saya tidak seberantakan thread mbaknya,sekian thread baca thread paling aneh penulisan sumpah aneh bgt mau ngatain lebay segala bikin thread hadeh juga jago nulis tulisan seberantakan thread mbaknya
happy,sharing sama teman tuh memang bgt disaat kamu merasa masalah kamu berat sangat ternyata teman sendiri punya masalah lebih berat malah masalah tidak apanya dibanding masalah,sharing teman tuh bgt disaat merasa masalah berat ternyata teman sendiri punya masalah berat malah masalah apanya dibanding masalah
sadness,orang kalau pakai ponco buat jas hujan nah pakai buat kasur tadi gara saking punya apa mamak bilang tuh awal pernikan ada ngalamin bulan madu mirip skrg orang tidur nya pakai ponco gimane mau bulan madu,pakai ponco jas hujan pakai kasur tadi gara saking punya mamak bilang tuh awal pernikan ngalamin bulan madu mirip skrg tidur pakai ponco gimane mau bulan madu
anger,contoh yang gemar menyudutkan teriak paling toleran gemar menuduh gemar menjudge seseorang berdasarkan versi cukup tahu,contoh gemar menyudutkan teriak paling toleran gemar menuduh gemar menjudge seseorang berdasarkan versi cukup
sadness,pulang h lebaran dilema sekali tidak melakukan apa dirumah lebaran buka puasa bareng hari sama keluarga juga sahur,pulang h lebaran dilema sekali melakukan dirumah lebaran buka puasa bareng keluarga juga sahur
anger,betul min rakyat indonesia sekarang harapan nya tinggal sama tni kalau lain lihat jelas penyerangan kantor medium katanya ada unsur pidananya sudah jelas menghina presiden indonesia sah cuma lucu lucu an tni,betul min rakyat indonesia harapan tinggal tni lain lihat jelas penyerangan kantor medium katanya unsur pidananya sudah jelas menghina presiden indonesia sah lucu lucu an tni
anger,kalaupun fansite ngejual hasil jepretan toh uang nya lari idol beliin hadiah sebagainya kan kpopers baru fansite ada jaman kamera sebening skrg,kalaupun fansite ngejual hasil jepretan toh uang lari idol beliin hadiah sebagainya kpopers fansite jaman kamera sebening skrg
happy,sangat bersyukur mendoakan kakeknya bung karno bersama anakanak yatim piatu bulanbungkarno junibulanbungkarno penyambunglidahrakyatindonesia nomoruntukjatim jatimpilihgusipulputi kabehsedulurkabehmakmur h,bersyukur mendoakan kakeknya bung karno bersama anakanak yatim piatu bulanbungkarno junibulanbungkarno penyambunglidahrakyatindonesia nomoruntukjatim jatimpilihgusipulputi kabehsedulurkabehmakmur h
sadness,sulit menerima kenyataan memang ada sebagian menganggap berinteraksi satu orang satu golongan tertentu langsung mengatakan golongan tertentu sesaat kita mempelajari utuh mengklaim diri kita paling benar,sulit menerima kenyataan sebagian menganggap berinteraksi satu satu golongan tertentu langsung mengatakan golongan tertentu sesaat mempelajari utuh mengklaim diri paling benar
anger,samanye maling semua si jancok si anjing si siluman monyet hahahahaha satu hati sama sama maling,samanye maling si jancok si anjing si siluman monyet hahahahaha satu hati maling
